State,District,Subdistt,Town/Village,Ward,EB,Level,Name,TRU,No_HH,TOT_P,TOT_M,TOT_F,P_06,M_06,F_06,P_SC,M_SC,F_SC,P_ST,M_ST,F_ST,P_LIT,M_LIT,F_LIT,P_ILL,M_ILL,F_ILL,TOT_WORK_P,TOT_WORK_M,TOT_WORK_F,MAINWORK_P,MAINWORK_M,MAINWORK_F,MAIN_CL_P,MAIN_CL_M,MAIN_CL_F,MAIN_AL_P,MAIN_AL_M,MAIN_AL_F,MAIN_HH_P,MAIN_HH_M,MAIN_HH_F,MAIN_OT_P,MAIN_OT_M,MAIN_OT_F,MARGWORK_P,MARGWORK_M,MARGWORK_F,MARG_CL_P,MARG_CL_M,MARG_CL_F,MARG_AL_P,MARG_AL_M,MARG_AL_F,MARG_HH_P,MARG_HH_M,MARG_HH_F,MARG_OT_P,MARG_OT_M,MARG_OT_F,MARGWORK_3_6_P,MARGWORK_3_6_M,MARGWORK_3_6_F,MARG_CL_3_6_P,MARG_CL_3_6_M,MARG_CL_3_6_F,MARG_AL_3_6_P,MARG_AL_3_6_M,MARG_AL_3_6_F,MARG_HH_3_6_P,MARG_HH_3_6_M,MARG_HH_3_6_F,MARG_OT_3_6_P,MARG_OT_3_6_M,MARG_OT_3_6_F,MARGWORK_0_3_P,MARGWORK_0_3_M,MARGWORK_0_3_F,MARG_CL_0_3_P,MARG_CL_0_3_M,MARG_CL_0_3_F,MARG_AL_0_3_P,MARG_AL_0_3_M,MARG_AL_0_3_F,MARG_HH_0_3_P,MARG_HH_0_3_M,MARG_HH_0_3_F,MARG_OT_0_3_P,MARG_OT_0_3_M,MARG_OT_0_3_F,NON_WORK_P,NON_WORK_M,NON_WORK_F
0,0,0,0,0,0,India,India,Total,249501663,1210854977,623270258,587584719,164515253,85752254,78762999,201378372,103535314,97843058,104545716,52547215,51998501,763638812,434763622,328875190,447216165,188506636,258709529,481888868,331939875,149948993,362565571,273209976,89355595,95942413,73067137,22875276,86168706,55255858,30912848,12332802,7540768,4792034,168121650,137346213,30775437,119323297,58729899,60593398,22866367,9695797,13170570,58164984,27486479,30678505,6005366,2235762,3769604,32286580,19311861,12974719,97064448,48589581,48474867,17847735,7610532,10237203,47863565,23005463,24858102,4585018,1744338,2840680,26768130,16229248,10538882,22258849,10140318,12118531,5018632,2085265,2933367,10301419,4481016,5820403,1420348,491424,928924,5518450,3082613,2435837,728966109,291330383,437635726
0,0,0,0,0,0,India,India,Rural,168612897,833748852,427781058,405967794,121322865,63084449,58238416,153850848,79118287,74732561,94083844,47263733,46820111,482793835,281361374,201432461,350955017,146419684,204535333,348743092,226837013,121906079,245868421,178095330,67773091,92838752,70518883,22319869,80960135,51639997,29320138,7245894,4171000,3074894,64823640,51765450,13058190,102874671,48741683,54132988,22245886,9376425,12869461,56038173,26292225,29745948,4703586,1693786,3009800,19887026,11379247,8507779,83052011,40044579,43007432,17314593,7329916,9984677,46105181,22000055,24105126,3548611,1307709,2240902,16083626,9406899,6676727,19822660,8697104,11125556,4931293,2046509,2884784,9932992,4292170,5640822,1154975,386077,768898,3803400,1972348,1831052,485005760,200944045,284061715
0,0,0,0,0,0,India,India,Urban,80888766,377106125,195489200,181616925,43192388,22667805,20524583,47527524,24417027,23110497,10461872,5283482,5178390,280844977,153402248,127442729,96261148,42086952,54174196,133145776,105102862,28042914,116697150,95114646,21582504,3103661,2548254,555407,5208571,3615861,1592710,5086908,3369768,1717140,103298010,85580763,17717247,16448626,9988216,6460410,620481,319372,301109,2126811,1194254,932557,1301780,541976,759804,12399554,7932614,4466940,14012437,8545002,5467435,533142,280616,252526,1758384,1005408,752976,1036407,436629,599778,10684504,6822349,3862155,2436189,1443214,992975,87339,38756,48583,368427,188846,179581,265373,105347,160026,1715050,1110265,604785,243960349,90386338,153574011
1,0,0,0,0,0,STATE,JAMMU & KASHMIR,Total,2119718,12541302,6640662,5900640,2018905,1084355,934550,924991,486232,438759,1493299,776257,717042,7067233,4264671,2802562,5474069,2375991,3098078,4322713,3195090,1127623,2644149,2305788,338361,566469,486417,80052,159519,143071,16448,78826,58514,20312,1839335,1617786,221549,1678564,889302,789262,678847,279110,399737,388186,271273,116913,93760,32824,60936,517771,306095,211676,1201567,675679,525888,452472,200157,252315,272606,200263,72343,67175,26044,41131,409314,249215,160099,476997,213623,263374,226375,78953,147422,115580,71010,44570,26585,6780,19805,108457,56880,51577,8218589,3445572,4773017
1,0,0,0,0,0,STATE,JAMMU & KASHMIR,Rural,1553433,9108060,4774477,4333583,1593008,854141,738867,751026,392981,358045,1406833,730075,676758,4747950,2891749,1856201,4360110,1882728,2477382,3113081,2212006,901075,1669814,1453157,216657,541316,464699,76617,141304,126405,14899,57248,41833,15415,929946,820220,109726,1443267,758849,684418,639068,265175,373893,357227,249646,107581,75886,27484,48402,371086,216544,154542,1013949,566924,447025,427328,190079,237249,250844,184199,66645,53923,21727,32196,281854,170919,110935,429318,191925,237393,211740,75096,136644,106383,65447,40936,21963,5757,16206,89232,45625,43607,5994979,2562471,3432508
1,0,0,0,0,0,STATE,JAMMU & KASHMIR,Urban,566285,3433242,1866185,1567057,425897,230214,195683,173965,93251,80714,86466,46182,40284,2319283,1372922,946361,1113959,493263,620696,1209632,983084,226548,974335,852631,121704,25153,21718,3435,18215,16666,1549,21578,16681,4897,909389,797566,111823,235297,130453,104844,39779,13935,25844,30959,21627,9332,17874,5340,12534,146685,89551,57134,187618,108755,78863,25144,10078,15066,21762,16064,5698,13252,4317,8935,127460,78296,49164,47679,21698,25981,14635,3857,10778,9197,5563,3634,4622,1023,3599,19225,11255,7970,2223610,883101,1340509
2,0,0,0,0,0,STATE,HIMACHAL PRADESH,Total,1483280,6864602,3481873,3382729,777898,407459,370439,1729252,876300,852952,392126,196118,196008,5039736,2752590,2287146,1824866,729283,1095583,3559422,2043373,1516049,2062501,1438989,623512,919786,514927,404859,68668,46235,22433,32691,24576,8115,1041356,853251,188105,1496921,604384,892537,1142276,391227,751049,106370,56825,49545,26028,12591,13437,222247,143741,78506,1025060,417179,607881,757017,248341,508676,81001,44651,36350,18352,9632,8720,168690,114555,54135,471861,187205,284656,385259,142886,242373,25369,12174,13195,7676,2959,4717,53557,29186,24371,3305180,1438500,1866680
2,0,0,0,0,0,STATE,HIMACHAL PRADESH,Rural,1312510,6176050,3110345,3065705,712822,372854,339968,1606535,812072,794463,374392,186896,187496,4471736,2437821,2033915,1704314,672524,1031790,3289384,1836358,1453026,1822109,1247874,574235,914201,510886,403315,66318,44463,21855,27502,20466,7036,814088,672059,142029,1467275,588484,878791,1134381,389068,745313,103961,55338,48623,24696,12012,12684,204237,132066,72171,1001552,404162,597390,751843,246958,504885,79035,43438,35597,17289,9170,8119,153385,104596,48789,465723,184322,281401,382538,142110,240428,24926,11900,13026,7407,2842,4565,50852,27470,23382,2886666,1273987,1612679
2,0,0,0,0,0,STATE,HIMACHAL PRADESH,Urban,170770,688552,371528,317024,65076,34605,30471,122717,64228,58489,17734,9222,8512,568000,314769,253231,120552,56759,63793,270038,207015,63023,240392,191115,49277,5585,4041,1544,2350,1772,578,5189,4110,1079,227268,181192,46076,29646,15900,13746,7895,2159,5736,2409,1487,922,1332,579,753,18010,11675,6335,23508,13017,10491,5174,1383,3791,1966,1213,753,1063,462,601,15305,9959,5346,6138,2883,3255,2721,776,1945,443,274,169,269,117,152,2705,1716,989,418514,164513,254001
3,0,0,0,0,0,STATE,PUNJAB,Total,5513071,27743338,14639465,13103873,3076219,1665994,1410225,8860179,4639875,4220304,0,0,0,18707137,10436056,8271081,9036201,4203409,4832792,9897362,8074157,1823205,8450936,7264631,1186305,1803860,1691777,112083,1168021,1013979,154042,300660,215971,84689,5178395,4342904,835491,1446426,809526,636900,130651,61582,69069,420434,225466,194968,85300,33323,51977,810041,489155,320886,1150415,661526,488889,98849,50454,48395,309258,178294,130964,65487,25262,40225,676821,407516,269305,296011,148000,148011,31802,11128,20674,111176,47172,64004,19813,8061,11752,133220,81639,51581,17845976,6565308,11280668
